Link about Therapy,Language,The name of the file
https://www.aapc.com/codes/webroot/upload/general_pages_docs/document/SensoryIntegrationTherapy-MP-8.011-9-24-13_.pdf,English,Sensory Processing Therapy 31
https://bcuhb.nhs.wales/services/hospital-services/occupational-therapy/childrens-occupational-therapy/childrens-occupational-therapy-documents/sensory-meltdowns-pdf/,English,Sensory Processing Therapy 32
https://www.tclny.org/content/Sensory%20Calming%20Activities.pdf,English,Sensory Processing Therapy 33
https://static1.1.sqspcdn.com/static/f/551166/27167272/1469580833217/Occupational_Therapy_White_V6I2.pdf?token=WoqsK53MLZtD92ZD140gyLwfntE%3D,English,Sensory Processing Therapy 34
https://www.spdstar.org/sites/default/files/publications/ARandomizedControlledPilotStudyoftheEffectivenessofOT.pdf,English,Sensory Processing Therapy 35
https://www.sensorysmarts.com/sensory-checklist.pdf,English,Sensory Processing Therapy 36
https://pathways.org/wp-content/uploads/2022/03/How-Does-OT-Help_2022.pdf,English,Sensory Processing Therapy 37
https://tpcjournal.nbcc.org/wp-content/uploads/2015/03/Pages%20273%E2%80%93292.pdf,English,Sensory Processing Therapy 38
https://capacity-resource.middletownautism.com/wp-content/uploads/sites/4/2015/07/CASE-SMITH-2014.pdf,English,Sensory Processing Therapy 39
https://www.scielo.br/j/cadbto/a/hZ4RyjSvfmXYFjGKPFqCrnb/?format=pdf&lang=en,English,Sensory Processing Therapy 40
https://radarcart.boisestate.edu/library/files/2017/07/MBCT_Booklet_Final_2012.pdf,English,MBCT 1
https://abuhb.nhs.wales/files/mental-health/mindful-based-cognitive-therapy-participant-handbook/,English,MBCT 2
https://www.elft.nhs.uk/sites/default/files/MBCT%20Implementation%20Resources.pdf,English,MBCT 3
https://journals.sagepub.com/doi/pdf/10.1177/070674371205700202,English,MBCT 4
https://www.griid.edu.in/sites/default/files/9-Diksha%20Sachdeva-Mindfulness-Based%20Cognitive%20Therapy%20(MBCT)%20for%20Depression-%20Review%20and%20Current%20Trends.pdf,English,MBCT 5
https://drive.google.com/drive/u/1/folders/1LIAK12-MmFebK-ABi2IkoCCPpsbIE-2c,English,MBCT 6
https://elishagoldstein.com/assets/mbct-handouts.pdf,English,MBCT 7
https://www.pecggz.nl/wp-content/uploads/2016/04/Mindfulness.pdf,English,MBCT 8
https://ris.utwente.nl/ws/files/6742064/art_10.1007_s12671-013-0235-5.pdf,English,MBCT 9
https://pure.rug.nl/ws/portalfiles/portal/39532980/Group_and_Individual_Mindfulness_Based_Cognitive_Therapy_MBCT_Are_Both_Effective_a_Pilot_Randomized_Controlled_Trial_in_Depressed_People_with_a_Somatic_Disease.pdf,English,MBCT 10
https://www.umassmed.edu/contentassets/b66bb700dde84aaaa4f7f87df1dafd7d/mindfulnessbasedtreatmentfordepression.pdf,English,MBCT 11
https://www.psyq.nl/documents/1302791/1306000/Paper+MBCT.pdf/e4c0fe5a-1810-8813-8414-7c2e0da6c48e?t=1658322849288,English,MBCT 12
https://www.tandfonline.com/doi/pdf/10.1080/15332980903405330,English,MBCT 13
https://download.e-bookshelf.de/download/0003/8945/00/L-G-0003894500-0002286508.pdf,English,MBCT 14
https://www.ijpsy.com/volumen11/num2/298/mindfulness-basedcognitive-therapy-mbct-EN.pdf,English,MBCT 15
https://pure.uva.nl/ws/files/21744597/S1File.pdf,English,MBCT 16
https://onderzoekmetmensen.nl/en/node/31974/pdf,English,MBCT 17
https://www.oxfordmindfulness.org/wp-content/uploads/2017/05/OMC-MBCT-International-Training2017.pdf,English,MBCT 18
https://www.hee.nhs.uk/sites/default/files/documents/HIT%20Mindfulness%20based%20Cognitive%20Therapy%20Curriculum%20for%20reducing%20relapse%20in%20recurrent%20depression%20Dec%202023.pdf,English,MBCT 19
https://ijshr.com/IJSHR_Vol.5_Issue.4_Oct2020/IJSHR0011.pdf,English,MBCT 20
https://lib.unnes.ac.id/57827/2/64%20Turnitin%20Mindfulness-Based%20Cognitive%20Therapy%20%28MBCT%29.pdf,English,MBCT 21
https://www.guilford.com/excerpts/williams6.pdf?t=1,English,MBCT 22
https://infonomics-society.org/wp-content/uploads/Mindfulness-based-Cognitive-Behavioral-Therapy-during-Pandemic.pdf,English,MBCT 23
https://www.elft.nhs.uk/sites/default/files/Ravesteijn2014_MBCTprocessofchange.pdf,English,MBCT 24
https://pure.manchester.ac.uk/ws/portalfiles/portal/248798254/FULL_TEXT.PDF,English,MBCT 25
https://www.surrey.ac.uk/sites/default/files/Mindfulness-based%20cognitive%20therapy.pdf,English,MBCT 26
https://www.jcreview.com/admin/Uploads/Files/61b3b41fe55264.89927749.pdf,English,MBCT 27
https://jfmh.mums.ac.ir/article_21464_aa8c9801484168c5436c7d7890a80d3f.pdf,English,MBCT 28
https://eprints.whiterose.ac.uk/101869/2/Implementing%20MBCT%20as%20mindfulness%20skills%20courses%20for%20deposit.pdf,English,MBCT 29
https://self-compassion.org/wp-content/uploads/publications/How-MBCT-works.pdf,English,MBCT 30
https://www.oxfordmindfulness.org/wp-content/uploads/2017/08/HeLM-Systematic-Review-2-1.pdf,English,MBCT 31
https://www.hee.nhs.uk/sites/default/files/documents/MBCT%20in%20IAPT%20curriculum.pdf,English,MBCT 32
https://eprints.worc.ac.uk/3316/1/Surawy%20et%20al%202014%20MBCT%20for%20health%20anxiety%20case%20illustration.pdf,English,MBCT 33
https://www.apa.org/pubs/journals/features/ccp-80-5-817.pdf,English,MBCT 34
https://www.hilarispublisher.com/open-access/mindfulness-based-cognitive-therapy-mbct-as-an-addition-topsychiatric-care-as-usual-useful-for-hivinfected-patients-with-mentalhea-2155-6113-1000547.pdf,English,MBCT 35
https://pure.rug.nl/ws/portalfiles/portal/17543292/Cognitive_behavioral_therapy_and_mindfulness_based_cognitive_therapy.pdf,English,MBCT 36
https://sussexmindfulnesscentre.nhs.uk/wp-content/uploads/2023/08/Mindfulness-infosheet.pdf,English,MBCT 37
https://cih.ucsd.edu/sites/cih.ucsd.edu/files/mbpti/Prevention%20of%20Relapse%20Recurrence%20in%20Major%20Depression%20by%20MBCT.pdf,English,MBCT 38
https://classic.clinicaltrials.gov/ProvidedDocs/87/NCT05995587/Prot_SAP_000.pdf,English,MBCT 39
https://www.thelancet.com/pdfs/journals/lancet/PIIS0140-6736(14)62222-4.pdf,English,MBCT 40
https://medcraveonline.com/JPCPY/JPCPY-07-00429.pdf,English,MBCT 41
https://self-compassion.org/wp-content/uploads/publications/Rimes-Wingrove-2011-pilot-study-MBCT-trainee-clinical-psychologist.pdf,English,MBCT 42
https://discovery.ucl.ac.uk/id/eprint/10143484/1/Fisher_Autobiographical%20memory%20style%20and%20clinical%20outcomes%20following%20mindfulness-based%20cognitive%20therapy%20%28MBCT%29_VoR.pdf,English,MBCT 43
https://alpha-psychiatry.com/Content/files/sayilar/121/AP_20231379_nlm_new_indd.pdf,English,MBCT 44
https://core.ac.uk/download/pdf/52391491.pdf,English,MBCT 45
https://core.ac.uk/download/pdf/52391491.pdf,English,MBCT 46
https://www.mbct.com/wp-content/uploads/2020/12/kuyken-jccp-2008.pdf,English,MBCT 47
https://www.al-edu.com/wp-content/uploads/2014/05/RyleKerr-Introducing-Cognitive-Analytic-Therapy-Principles-and-Practice.pdf,English,Cognitive Analytic Therapy (CAT) 1
https://documents.uow.edu.au/content/groups/public/@web/@ihmri/documents/doc/uow155498.pdf,English,Cognitive Analytic Therapy (CAT) 2
https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3CDC4038395DBC8710C465E35D549218/S1355514600009834a.pdf/cognitiveanalytic_therapy.pdf,English,Cognitive Analytic Therapy (CAT) 3
https://drive.google.com/drive/u/1/folders/1L9oFB_z5K1gK23iL6H8kE-uArMZkyyJW,English,Cognitive Analytic Therapy (CAT) 4
https://www.acat.me.uk/factsheets/cat-faqs-for-commissioners.pdf,English,Cognitive Analytic Therapy (CAT) 5
https://www.nzccp.co.nz/assets/Uploads/Introduction-to-Cognitive-Analytic-Therapy.pdf,English,Cognitive Analytic Therapy (CAT) 6
https://www.ucl.ac.uk/pals/sites/pals/files/4_what_is_cat_service_user_document_final.pdf,English,Cognitive Analytic Therapy (CAT) 7
https://madeinheene.hee.nhs.uk/Portals/19/COGNITIVE%20ANALYTIC%20THERAPY-%2022%20Oct%202019-%20P_Biggs.pdf,English,Cognitive Analytic Therapy (CAT) 8
https://www.acat.me.uk/factsheets/What-is-CAT-brief-guide.pdf,English,Cognitive Analytic Therapy (CAT) 9
https://download.e-bookshelf.de/download/0000/5799/16/L-G-0000579916-0002326675.pdf,English,Cognitive Analytic Therapy (CAT) 10
https://eprints.whiterose.ac.uk/102723/2/CATat30.pdf,English,Cognitive Analytic Therapy (CAT) 11
https://mirapeix.es/wp-content/uploads/2021/06/07-TLP-y-CAT-Kerr-Bennett-y-Mirapeix-ilovepdf-compressed.pdf,English,Cognitive Analytic Therapy (CAT) 12
https://eprints.staffs.ac.uk/6060/1/Thesis%20NR.pdf ,English,Cognitive Analytic Therapy (CAT) 13
https://eprints.whiterose.ac.uk/102724/5/CAT%20outcome%20review.pdf,English,Cognitive Analytic Therapy (CAT) 14
https://www.cambridge.org/core/services/aop-cambridge-core/content/view/78AC296CBDB4100FCC565BEAC843DC85/S1355514600011743a.pdf/cognitive_analytic_therapy_at_30.pdf,English,Cognitive Analytic Therapy (CAT) 15
https://drive.google.com/drive/u/1/folders/1L9oFB_z5K1gK23iL6H8kE-uArMZkyyJW,English,Cognitive Analytic Therapy (CAT) 16
https://journals.sagepub.com/doi/pdf/10.1177/15346501231198483,English,Cognitive Analytic Therapy (CAT) 17
https://madeinheene.hee.nhs.uk/Portals/19/COGNITIVE%20ANALYTIC%20THERAPY-%2013%20Oct%202015.pdf,English,Cognitive Analytic Therapy (CAT) 18
https://www.ucl.ac.uk/clinical-psychology/competency-maps/pd-framework/Specific%20psychological%20interventions/Cognitive%20Analytic%20Therapy%20for%20webpage.pdf,English,Cognitive Analytic Therapy (CAT) 19
https://www.primescholars.com/articles/cognitive-analytic-therapy-an-integrative-psychological-therapy.pdf,English,Cognitive Analytic Therapy (CAT) 20
https://www.cntw.nhs.uk/wp-content/uploads/2016/08/Cat-LP-1.pdf,English,Cognitive Analytic Therapy (CAT) 21
https://www.rcpsych.ac.uk/docs/default-source/improving-care/ccqi/quality-networks/psychiatric-liaison-services-plan/past-event-resources/plan-using-principles-cognitive-analytic-therapy-liaison-psychiatry-settings.pdf?sfvrsn=4a3e18ba_2,English,Cognitive Analytic Therapy (CAT) 22
https://pure.manchester.ac.uk/ws/portalfiles/portal/52269357/Taylor_et_al_2017_Psychology_and_Psychotherapy_Theory_Research_and_Practice.pdf,English,Cognitive Analytic Therapy (CAT) 23
https://www.evidentlybetter.org/files/2020/07/20200705-Group-Cognitive-Analytic-Therapy.pdf,English,Cognitive Analytic Therapy (CAT) 24
https://www.clinicalpsychologyservice.co.uk/wp-content/uploads/2016/08/A-CAT-envelope-to-deliver-EMDR_notcopyofrecord.pdf,English,Cognitive Analytic Therapy (CAT) 25
https://pure.manchester.ac.uk/ws/portalfiles/portal/248793422/FULL_TEXT.PDF,English,Cognitive Analytic Therapy (CAT) 26
https://www.canterbury.ac.uk/science-engineering-and-social-sciences/salomons-institute-for-applied-psychology/docs/resources/dclinpsy-new/CCAT-Measure-document-1-1.pdf,English,Cognitive Analytic Therapy (CAT) 27
https://www.sagepub.com/sites/default/files/upm-binaries/47043_07_Critique_of_CBTand_CAT.pdf,English,Cognitive Analytic Therapy (CAT) 28
https://core.ac.uk/download/pdf/384449707.pdf,English,Cognitive Analytic Therapy (CAT) 29
https://www.simplybeing.co.uk/wp-content/uploads/2012/09/Article_from_Sage_Handbook_2nd_Cognitive_analytic_therapy_with_diagram.pdf,English,Cognitive Analytic Therapy (CAT) 30
http://www.joeylessem.co.uk/ThePsychotherapyFile.pdf,English,Cognitive Analytic Therapy (CAT) 31
https://core.ac.uk/download/pdf/74235647.pdf,English,Cognitive Analytic Therapy (CAT) 32
https://assets.gov.ie/19531/b3556e952df84a658e4e15c9623e2e74.pdf,English,Cognitive Analytic Therapy (CAT) 33
https://livrepository.liverpool.ac.uk/2009009/1/CroftAim_June2014_(abridged)_2009009.pdf,English,Cognitive Analytic Therapy (CAT) 34
https://www.exeter.ac.uk/v8media/recruitmentsites/documents/dclinpsyhandbooks/CAT_foundation_level_handbook_2023_YS1.pdf,English,Cognitive Analytic Therapy (CAT) 35
https://ueaeprints.uea.ac.uk/id/eprint/82120/1/2021SlettevoldEClinPsyD.pdf,English,Cognitive Analytic Therapy (CAT) 36
https://catalyse.uk.com/wp-content/uploads/sites/3/2015/12/Glossary-of-CAT-terms-and-concepts-V2.pdf,English,Cognitive Analytic Therapy (CAT) 37
https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=cbe5a03a0427171f40aea6389c05e48053383fa6,English,Cognitive Analytic Therapy (CAT) 38
https://www.engage.acat.org.uk/wp-content/uploads/sites/41/2019/08/4-What-is-CAT-service-user-document-April-2022.pdf,English,Cognitive Analytic Therapy (CAT) 39
https://www.headingtonpsychotherapy.co.uk/downloads/RuptureResolutioninCAT.pdf,English,Cognitive Analytic Therapy (CAT) 40
http://www.itacat.org/wp-content/uploads/2013/05/Working-with-the-difficult-patient.CAT_.CMHJ_.pdf,English,Cognitive Analytic Therapy (CAT) 41
https://jpcp.uswr.ac.ir/article-1-125-fa.pdf,English,Cognitive Analytic Therapy (CAT) 42
https://www.tandfonline.com/doi/pdf/10.1080/03069885.2021.1929834,English,Cognitive Analytic Therapy (CAT) 43
https://watermark.silverchair.com/20-6-959.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAzYwggMyBgkqhkiG9w0BBwagggMjMIIDHwIBADCCAxgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMwfceuEMHyhMfNSxuAgEQgIIC6QE0zD1shMjM7u8PxNQibDHzyfU4qzhuowps3bvS48c7AI98TQ68ASUbhAxZ6b7Bd1JafFwOvZtWF3Yq_TKD12WnqcL9mZ3EBeU57A3EXc5mMW11q9CZd9B3dGcWsiFpP-L59npsomabWvwV7QcUl0b2CWvrrZPLNEcxfmpXtk8AXpwUzi9DlUiOzV36ScCY6aXN1GDvBiv0W5-TFpqSqjCl9qFlzkXh8DfEkVZ1rrxzqqWXB9Et5mbY-TwIXlRKV26SDp3QRrGaSIZDW-wMvw8GEFar2qk6ejxLTj3DOQhF08V8WHRBBktYu8xsLk3qq3ju8_38h5_F1oJ9Itkuqxneqq9bUmRwehrwbSn323vRrCDrEmZSBRlW25Dh9WSM-HSRfGnuNilAeq6YAlB3OlNx7RzbOqRCX1RV9B0q9LqQvEJ2tXluXksX7LVhw2Xltk4C2XvKycmSIdESnw7laVex8ze2V2Je2p7hch3RqhX5SlTnyv1NbxJnd65i85VrD7LRGIKiZF2ay__BbIoWDl5iBvIlQ6NWWKz8_efqnOjKdqqLp6zTU8Dz7PdQ6ZspwoUpkxw5Ozo3ve2iMqcur1Y35bKBIKgvankDjvmHonb2vRVsARb2gATYmU2E-s6EByhm4u6ka4APbjIwePh-S_mcomdayA-UieN8Te0NWWLBztr6wJBS7Bu4lNdtZw3T7TyaY5eq8KklobHJLbmMzoRWatyve0-MVKx0ME0mScwC-wS1nf3ZS8Om6YEGh7KKhVEOxUNUM4Of2fqCWZi0BAS6c_2nlXEnaSdRk5gSUA0Gt60rlgC9ZOdWeSFDLVoYfV0kvPmS1-7XBdPVFx-bdHtdg_GoabYREADU3Prl81LwwZyCDVyLtdhIlql6CzpcDKEpVgJuK-aktv90GK-YZxnlqtbuSWo0pNnvl-RYcEbsWFde9ZCpaYveSGrSWfrFWJFBD0b2wjI48vFwGT47psBKokKZgnGgJ5A,English,Cognitive Analytic Therapy (CAT) 44
https://www.ijiet.org/vol7/868-P29.pdf,English,Cognitive Analytic Therapy (CAT) 45
https://eprints.staffs.ac.uk/6502/3/Psychol%20Psychother%20-%202020%20-%20Balmain%20-%20A%20systematic%20review%20of%20service%20user%20s%20experience%20of%20cognitive%20analytic%20therapy%20CAT.pdf,English,Cognitive Analytic Therapy (CAT) 46
https://diabetesonthenet.com/wp-content/uploads/jdn19-8-305-8-1.pdf,English,Cognitive Analytic Therapy (CAT) 47
https://www.scielo.br/j/rbp/a/HLpWbYk4bJHY39sfJfRJwtn/?format=pdf&lang=en,English,Cognitive Analytic Therapy (CAT) 48
https://scielo.isciii.es/pdf/clinsa/v22n3/v22n3a3.pdf,English,Cognitive Analytic Therapy (CAT) 49
https://meskeveeyamcollege.ac.in/SSR-Documents/Criteria2/2.3.2.2/Sebin%20P.-%20Psychology.pdf,English,Transactional Analysis 1
https://carolsolomonphd.com/web_pdfs/Transact.pdf,English,Transactional Analysis 2
https://cdn.ymaws.com/www.cilip.org.uk/resource/resmgr/cilip_new_website/member_benefits/elearning/SIL_3.3.A_Transactional_Anal.pdf,English,Transactional Analysis 3
https://manchesterpsychotherapy.co.uk/wp-content/uploads/2010/12/TA-Basics-Transactional-analysis-made-simple.pdf,English,Transactional Analysis 4
https://naarm.org.in/focarsrepository/files/8.%20Transactional%20Analysis.pdf,English,Transactional Analysis 5
https://nscpolteksby.ac.id/ebook/files/Ebook/Business%20Administration/Counselling%20Skills%20and%20Theory%20(2014)/7%20-%20Transactional%20analysis.pdf,English,Transactional Analysis 6
https://utkaluniversity.ac.in/wp-content/uploads/2023/02/TRANSACTIONAL-ANALYSIS.pdf,English,Transactional Analysis 7
https://www.kessels-smit.com/files/handout_transactional_analysis_theory_english.pdf,English,Transactional Analysis 8
https://nja.gov.in/Concluded_Programmes/2016-17/SE-1_(Sri_Lanka_2016)_PPTs/2.Transactional%20Analysis.pdf,English,Transactional Analysis 9
https://www.amity.edu/gurugram/amity_management_analyst/pdf/2010/jan-june/chapter-2.pdf,English,Transactional Analysis 10
https://www.metanoia.ac.uk/media/1468/what-is-ta-website-doc.pdf,English,Transactional Analysis 11
https://nscpolteksby.ac.id/ebook/files/Ebook/Business%20Administration/Counselling%20Skills%20and%20Theory(2010)/7%20-%20Transactional%20analysis.pdf,English,Transactional Analysis 12
https://lup.lub.lu.se/search/files/5550007/2175330.pdf,English,Transactional Analysis 13
https://mcpt.co.uk/wp-content/uploads/2017/06/TA-Handbook-2017.pdf,English,Transactional Analysis 14
https://www.scotlanddeanery.nhs.scot/media/197813/medical-appraisal-presentation-5-transactional-analysis.pdf,English,Transactional Analysis 15
https://ta-academie.nl/wp-content/uploads/2022/08/Steiner-C-M-Core-Concepts-of-a-Stroke-Centered-Transactional-Analysis.pdf,English,Transactional Analysis 16
https://www.acadiau.ca/~rlehr/Transactional%20Analysis%20ch%20Corey%202013.pdf,English,Transactional Analysis 17
https://sdf.ac.uk/cms/wp-content/uploads/2017/07/Transactional-Analysis.pdf,English,Transactional Analysis 18
https://www.psihoterapieat.ro/pdf/101.pdf,English,Transactional Analysis 19
https://epgp.inflibnet.ac.in/epgpdata/uploads/epgp_content/S000032SW/P000436/M006099/ET/145949177013ET.pdf,English,Transactional Analysis 20
https://api.pageplace.de/preview/DT0400.9781135282899_A24325205/preview-9781135282899_A24325205.pdf,English,Transactional Analysis 21
https://inclusiveskating.org/resources/the-basic-elements-of-communication---transactional-analysis-210222215535.pdf,English,Transactional Analysis 22
https://us.sagepub.com/sites/default/files/upm-assets/40597_book_item_40597.pdf,English,Transactional Analysis 23
https://mmhapu.ac.in/doc/eContent/Management/ShahnazMadam/Transaction%20Analysis%20Sem2.pdf,English,Transactional Analysis 24
https://www.mcrhrdi.gov.in/splfc/week3/M-Transactional%20Analysis.pdf,English,Transactional Analysis 25
https://mcpt.co.uk/wp-content/uploads/2014/08/transactional_analysis_a_review.pdf,English,Transactional Analysis 26
https://bepls.com/spl_2017(1)/49.pdf,English,Transactional Analysis 27
http://relational-integrative-psychotherapy.uk/wp-content/uploads/2015/03/precis-Chapter-16-Transactional-Analysis.pdf,English,Transactional Analysis 28
https://egyankosh.ac.in/bitstream/123456789/7361/1/Unit-3.pdf,English,Transactional Analysis 29
https://www.tony-white.com/wp-content/uploads/2020/03/NewWaysInTA.pdf,English,Transactional Analysis 30
https://gettherapybirmingham.com/wp-content/uploads/Communication-Worksheet-Pt-1-and-2-Transactional-Analysis-.pdf,English,Transactional Analysis 31
https://lspsychology.com/wp-content/uploads/2021/05/TA-Print-1.pdf,English,Transactional Analysis 32
https://pdfs.semanticscholar.org/174c/8de62d3aaa03803f9525f9a1a1fd99f19465.pdf,English,Transactional Analysis 33
https://www.psihoterapieat.ro/eng/pdf/101%20notes.pdf,English,Transactional Analysis 34
https://www.mathewsopenaccess.com/scholarly-articles/various-strokes-for-development-of-ego-in-the-transactional-analysis.pdf,English,Transactional Analysis 35
https://enderbyassociates.co.uk/uploads/E0CA4982-F06A-432A-8B61-F050D655CF43.pdf,English,Transactional Analysis 36
https://core.ac.uk/download/pdf/112623685.pdf,English,Transactional Analysis 37
https://www.crowe-associates.co.uk/wp-content/uploads/2013/01/1504_Transactional-Analysis-Overview-V2.pdf,English,Transactional Analysis 38
https://www.englishuk.com/uploads/assets/training/conferences/manconf2016/Hannah_Alexander-Wright_-_Transactional_Analysis_and_Ego_States.pdf,English,Transactional Analysis 39
https://www.happycentredschools.co.uk/images/Free%20resources/Pos-relation/Cheat%20Sheet%20-Transactional%20Analysis_approvedNHSC.pdf,English,Transactional Analysis 40
https://www.bradfordvts.co.uk/wp-content/onlineresources/teaching-learning/learning-personality-styles/transactional-analysis/transactional%20analysis%20questionnaire.pdf,English,Transactional Analysis 41
http://www.helps4u.force9.co.uk/Transactional%20analysis%20main%20article.pdf,English,Transactional Analysis 42
